Company,Valuation ($B),Date Joined,Country,City,Industry,Select Investors,Date_Joined_Year,Years_to_Unicorn,Year_Founded,Company_Age_2025,Log_Valuation,Is_Tech_Hub,Is_Silicon_Valley,Country_Tier,Investor_Count,Has_Top_VC,Is_Tech_Intensive,Ind_Enterprise_Tech,Ind_Fintech,Ind_Healthcare,Ind_Other,Era_2010-2014,Era_2015-2019,Era_2020+,Era_Pre-2000,ValCat_Medium,ValCat_Mega,ValCat_Small
Replit,3.0,2023-04-25,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Bloomberg Beta, Reach Capital",2023,7,2016,9,1.0986122886681098,1,1,1,3,1,1,True,False,False,False,False,True,False,False,False,False,True
Runway,3.0,2023-05-04,United States,New York,Media & Entertainment,"Lux Capital, Compound, Amplify Partners",2023,14,2009,16,1.0986122886681098,1,0,1,3,0,1,False,False,False,False,False,False,False,False,False,False,True
Blockstream,3.2,2021-08-24,Canada,Vancouver,Financial Services,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital",2021,7,2014,11,1.1631508098056809,0,0,2,3,0,1,False,True,False,False,True,False,False,False,False,False,True
Decart,3.21,2025-08-07,United States,San Francisco,Enterprise Tech,"Sequoia Capital, Zeev Ventures",2025,2,2023,2,1.1662709371419244,1,1,1,2,1,1,True,False,False,False,False,False,True,False,False,False,True
Addepar,3.25,2021-06-15,United States,Mountain View,Financial Services,"8VC, D1 Capital Partners, Sway Ventures",2021,12,2009,16,1.1786549963416462,1,1,1,3,0,1,False,True,False,False,False,False,False,False,False,False,True
Innovaccer,3.45,2021-02-19,United States,San Francisco,Healthcare & Life Sciences,"M12, WestBridge Capital, Lightspeed Venture Partners",2021,7,2014,11,1.2383742310432684,1,1,1,3,1,0,False,False,True,False,True,False,False,False,False,False,True
Ironclad,3.2,2022-01-18,United States,Sacramento,Enterprise Tech,"Accel, Sequoia Capital, Y Combinator",2022,8,2014,11,1.1631508098056809,0,0,1,3,1,1,True,False,False,False,True,False,False,False,False,False,True
Eikon Therapeutics,1.85,2022-01-06,United States,Hayward,Healthcare & Life Sciences,"The Column Group, Foresite Capital, Foresite Capital",2022,3,2019,6,0.6151856390902335,0,0,1,3,0,0,False,False,True,False,False,True,False,False,False,False,True
Distyl AI,1.8,2025-09-22,United States,San Francisco,Enterprise Tech,Khosla Ventures,2025,3,2022,3,0.5877866649021191,1,1,1,1,1,1,True,False,False,False,False,False,True,False,False,False,True
Retool,3.2,2021-12-22,United States,San Francisco,Enterprise Tech,Sequoia Capital,2021,21,2000,25,1.1631508098056809,1,1,1,1,1,1,True,False,False,False,False,False,False,False,False,False,True
Verkada,3.2,2020-01-29,United States,San Mateo,Industrials,"next47, First Round Capital, Sequoia Capital",2020,4,2016,9,1.1631508098056809,0,0,1,3,1,0,False,False,False,True,False,True,False,False,False,False,True
HighRadius,3.1,2020-01-07,United States,Houston,Financial Services,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital",2020,14,2006,19,1.1314021114911006,0,0,1,3,0,1,False,True,False,False,False,False,False,False,False,False,True
Nuvemshop,3.1,2021-08-17,Brazil,Sao Paulo,Consumer & Retail,"Kaszek Ventures, Qualcomm Ventures, Accel",2021,10,2011,14,1.1314021114911006,0,0,3,3,1,1,False,False,False,False,True,False,False,False,False,False,True
Phantom,3.0,2022-01-31,United States,San Francisco,Financial Services,"Paradigm, Andreessen Horowitz, Jump Capital",2022,1,2021,4,1.0986122886681098,1,1,1,3,1,1,False,True,False,False,False,False,True,False,False,False,True
LayerZero Labs,3.0,2022-03-30,United States,New York,Enterprise Tech,"Andreessen Horowitz, FTX Ventures, Tiger Global Management",2022,1,2021,4,1.0986122886681098,1,0,1,3,1,1,True,False,False,False,False,False,True,False,False,False,True
Harvey,3.0,2024-07-23,United States,San Francisco,Enterprise Tech,"OpenAI Startup Fund, Kleiner Perkins, Sequoia Capital",2024,2,2022,3,1.0986122886681098,1,1,1,3,1,1,True,False,False,False,False,False,True,False,False,False,True
Filevine,3.0,2025-09-23,United States,Salt Lake City,Enterprise Tech,"Accel, Album VC, Signal Peak Ventures",2025,11,2014,11,1.0986122886681098,0,0,1,3,1,1,True,False,False,False,True,False,False,False,False,False,True
Poolside,3.0,2024-10-02,France,Paris,Enterprise Tech,"Felicis, Redpoint Ventures, HSBC Venture Capital",2024,1,2023,2,1.0986122886681098,0,0,2,3,0,1,True,False,False,False,False,False,True,False,False,False,True
Crusoe,3.0,2022-04-21,United States,Denver,Industrials,"Bain Capital Ventures, Founders Fund, Winklevoss Capital",2022,4,2018,7,1.0986122886681098,0,0,1,3,0,0,False,False,False,True,False,True,False,False,False,False,True
Clio,3.0,2021-04-27,Canada,Burnaby,Enterprise Tech,"OMERS Private Equity, T. Rowe Price, Technology Crossover Ventures",2021,13,2008,17,1.0986122886681098,0,0,2,3,0,1,True,False,False,False,False,False,False,False,False,False,True
Zhipu AI,3.0,2023-09-20,China,Beijing,Enterprise Tech,"Qiming Venture Partners, Legend Capital, Jiangmen Venture Capital",2023,4,2019,6,1.0986122886681098,1,0,1,3,0,1,True,False,False,False,False,True,False,False,False,False,True
Nord Security,3.0,2022-04-07,Lithuania,Vilnius,Enterprise Tech,"General Catalyst, BaltCap, Novator Partners",2022,10,2012,13,1.0986122886681098,0,0,3,3,1,1,True,False,False,False,True,False,False,False,False,False,True
Yixia,3.0,2015-11-24,China,Beijing,Media & Entertainment,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures",2015,4,2011,14,1.0986122886681098,1,0,1,4,1,1,False,False,False,False,True,False,False,False,False,False,True
Traveloka,3.0,2017-01-01,Indonesia,Jakarta,Consumer & Retail,"Global Founders Capital, East Ventures, Expedia Inc.",2017,5,2012,13,1.0986122886681098,0,0,3,3,0,1,False,False,False,False,True,False,False,False,False,False,True
Monad Labs,3.0,2024-04-09,United States,New York,Financial Services,"HTX Ventures, Electric Capital, Coinbase Ventures",2024,1,2023,2,1.0986122886681098,1,0,1,3,0,1,False,True,False,False,False,False,True,False,False,False,True
SouChe Holdings,3.0,2017-11-01,China,Hangzhou,Industrials,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund",2017,5,2012,13,1.0986122886681098,0,0,1,3,0,0,False,False,False,True,True,False,False,False,False,False,True
BGL Group,3.0,2017-11-24,United Kingdom,Peterborough,Insurance,CPP Investment Board,2017,25,1992,33,1.0986122886681098,0,0,2,1,0,1,False,True,False,False,False,False,False,True,False,False,True
Circle,3.0,2018-05-15,United States,Boston,Financial Services,"General Catalyst, Digital Currency Group, Accel",2018,5,2013,12,1.0986122886681098,1,0,1,3,1,1,False,True,False,False,True,False,False,False,False,False,True
Zuoyebang,3.0,2018-07-18,China,Beijing,Consumer & Retail,"Sequoia Capital China, Xiang He Capital, GGV Capital",2018,4,2014,11,1.0986122886681098,1,0,1,3,1,1,False,False,False,False,True,False,False,False,False,False,True
FlixMobility,3.0,2019-07-18,Germany,Munich,Industrials,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic",2019,6,2013,12,1.0986122886681098,0,0,2,3,0,0,False,False,False,True,True,False,False,False,False,False,True
Wildlife Studios,3.0,2019-12-05,Brazil,Sao Paulo,Media & Entertainment,"Benchmark, Bessemer Venture Partners",2019,8,2011,14,1.0986122886681098,0,0,3,2,1,1,False,False,False,False,True,False,False,False,False,False,True
ApplyBoard,3.2,2020-05-05,Canada,Kitchener,Consumer & Retail,"Artiman Ventures, Plug and Play Ventures, Anthos Capital",2020,5,2015,10,1.1631508098056809,0,0,2,3,0,1,False,False,False,False,False,True,False,False,False,False,True
Forter,3.0,2020-11-19,United States,New York,Enterprise Tech,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures",2020,7,2013,12,1.0986122886681098,1,0,1,3,1,1,True,False,False,False,True,False,False,False,False,False,True
Calendly,3.0,2021-01-26,United States,Atlanta,Enterprise Tech,"ICONIQ Capital, OpenView Venture Partners",2021,8,2013,12,1.0986122886681098,0,0,1,2,0,1,True,False,False,False,True,False,False,False,False,False,True
BlockFi,3.0,2021-03-11,United States,Jersey City,Financial Services,"ConsenSys Ventures, Valar Ventures, PUC",2021,4,2017,8,1.0986122886681098,0,0,1,3,0,1,False,True,False,False,False,True,False,False,False,False,True
ActiveCampaign,3.0,2021-04-21,United States,Chicago,Enterprise Tech,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management",2021,18,2003,22,1.0986122886681098,0,0,1,3,1,1,True,False,False,False,False,False,False,False,False,False,True
CMR Surgical,3.0,2019-09-17,United Kingdom,Cambridge,Healthcare & Life Sciences,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital",2019,5,2014,11,1.0986122886681098,0,0,2,3,0,0,False,False,True,False,True,False,False,False,False,False,True
Lucid Software,3.0,2021-06-29,United States,South Jordan,Enterprise Tech,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital",2021,11,2010,15,1.0986122886681098,0,0,1,3,0,1,True,False,False,False,True,False,False,False,False,False,True
Age of Learning,3.0,2016-05-03,United States,Glendale,Consumer & Retail,Iconiq Capital,2016,9,2007,18,1.0986122886681098,0,0,1,1,0,1,False,False,False,False,False,False,False,False,False,False,True
Zetwerk,3.1,2021-08-20,India,Bengaluru,Industrials,"Peak XV Partners, Greenoaks, Kae Capital",2021,3,2018,7,1.1314021114911006,0,0,2,3,0,0,False,False,False,True,False,True,False,False,False,False,True
Carbon Health,3.0,2021-07-21,United States,San Francisco,Healthcare & Life Sciences,"Brookfield Asset Management, Blackstone, Data Collective",2021,6,2015,10,1.0986122886681098,1,1,1,3,0,0,False,False,True,False,False,True,False,False,False,False,True
Contentful,3.0,2021-07-28,Germany,Berlin,Enterprise Tech,"Balderton Capital, General Catalyst, Tiger Global Management",2021,8,2013,12,1.0986122886681098,0,0,2,3,1,1,True,False,False,False,True,False,False,False,False,False,True
LaunchDarkly,3.0,2021-08-10,United States,Oakland,Enterprise Tech,"Uncork Capital, Threshold Ventures, Bloomberg Beta",2021,7,2014,11,1.0986122886681098,0,0,1,3,0,1,True,False,False,False,True,False,False,False,False,False,True
Seismic,3.0,2018-12-18,United States,San Diego,Enterprise Tech,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",2018,8,2010,15,1.0986122886681098,0,0,1,3,1,1,True,False,False,False,True,False,False,False,False,False,True
Sky Mavis,3.0,2021-10-04,Vietnam,Ho Chi Minh City,Media & Entertainment,"Fabric Ventures, 500 Global, Standard Crypto",2021,2,2019,6,1.0986122886681098,0,0,3,3,0,1,False,False,False,False,False,True,False,False,False,False,True
Outschool,3.0,2021-04-14,United States,San Francisco,Consumer & Retail,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",2021,6,2015,10,1.0986122886681098,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,True
TradingView,3.0,2021-10-14,United States,Westerville,Financial Services,"Tiger Global Management, Insight Partners, Jump Capital",2021,10,2011,14,1.0986122886681098,0,0,1,3,1,1,False,True,False,False,True,False,False,False,False,False,True
Groww,3.0,2021-04-07,India,Bengaluru,Financial Services,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",2021,4,2017,8,1.0986122886681098,0,0,2,3,1,1,False,True,False,False,False,True,False,False,False,False,True
Podium,3.0,2020-04-07,United States,Lehi,Consumer & Retail,"Accel, Summit Partners, Google Ventures",2020,6,2014,11,1.0986122886681098,0,0,1,3,1,1,False,False,False,False,True,False,False,False,False,False,True
Rokt,3.5,2021-12-16,United States,New York,Consumer & Retail,"Square Peg Capital, TDM Growth Partners, Tiger Global Management",2021,9,2012,13,1.252762968495368,1,0,1,3,1,1,False,False,False,False,True,False,False,False,False,False,True
Via,3.5,2020-03-30,United States,New York,Industrials,"83North, RiverPark Ventures, Pitango Venture Capital",2020,8,2012,13,1.252762968495368,1,0,1,3,0,0,False,False,False,True,True,False,False,False,False,False,True
Anchorage Digital,3.0,2021-12-15,United States,San Francisco,Financial Services,"Andreessen Horowitz, Blockchain Capital, Lux Capital",2021,4,2017,8,1.0986122886681098,1,1,1,3,1,1,False,True,False,False,False,True,False,False,False,False,True
Inxeption,3.0,2022-01-13,United States,San Francisco,Industrials,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors",2022,5,2017,8,1.0986122886681098,1,1,1,3,0,0,False,False,False,True,False,True,False,False,False,False,True
Lattice,3.0,2021-03-23,United States,San Francisco,Enterprise Tech,"Khosla Ventures, Thrive Capital, Y Combinator",2021,6,2015,10,1.0986122886681098,1,1,1,3,1,1,True,False,False,False,False,True,False,False,False,False,True
Flutterwave,3.0,2021-03-09,United States,San Francisco,Financial Services,"Green Visor Capital, CRE Venture Capital, Greycroft",2021,5,2016,9,1.0986122886681098,1,1,1,3,0,1,False,True,False,False,False,True,False,False,False,False,True
Cross River Bank,3.0,2022-02-11,United States,Fort Lee,Financial Services,"Battery Ventures, Andreessen Horowitz, Ribbit Capital",2022,14,2008,17,1.0986122886681098,0,0,1,3,1,1,False,True,False,False,False,False,False,False,False,False,True
Remote,3.0,2021-07-13,United States,San Francisco,Enterprise Tech,"Index Ventures, Sequoia Capital, General Catalyst",2021,5,2016,9,1.0986122886681098,1,1,1,3,1,1,True,False,False,False,False,True,False,False,False,False,True
Sentry,3.0,2021-02-18,United States,San Francisco,Enterprise Tech,"New Enterprise Associates, Accel, Bond",2021,10,2011,14,1.0986122886681098,1,1,1,3,1,1,True,False,False,False,True,False,False,False,False,False,True
TERMINUS Technology,2.96,2018-10-25,China,Beijing,Industrials,"China Everbright Limited, IDG Capital, iFLYTEK",2018,3,2015,10,1.085189268335969,1,0,1,3,0,0,False,False,False,True,False,True,False,False,False,False,True
Kraken,2.92,2019-06-25,United States,San Francisco,Financial Services,"Bnk To The Future, Trammell Ventures, SBI Investment",2019,8,2011,14,1.0715836162801904,1,1,1,3,0,1,False,True,False,False,True,False,False,False,False,False,True
Workrise,2.9,2019-09-30,United States,Austin,Industrials,"Founders Fund, Quantum Energy Partners, Bedrock Capital",2019,5,2014,11,1.0647107369924282,0,0,1,3,0,0,False,False,False,True,True,False,False,False,False,False,True
BharatPe,2.85,2021-07-30,India,New Delhi,Financial Services,"Insight Partners, Sequoia Capital India, BEENEXT",2021,3,2018,7,1.0473189942805592,0,0,2,3,1,1,False,True,False,False,False,True,False,False,False,False,True
Gokin Solar,2.88,2022-04-13,China,Zhuhai,Industrials,"IDG Capital, Puluo Capital, Midea Capital",2022,10,2012,13,1.0577902941478545,0,0,1,3,0,0,False,False,False,True,True,False,False,False,False,False,True
DriveWealth,2.85,2021-08-20,United States,Chatham,Financial Services,"Point72 Ventures, Route 66 Ventures, Accel",2021,9,2012,13,1.0473189942805592,0,0,1,3,1,1,False,True,False,False,True,False,False,False,False,False,True
Meicai,2.8,2016-06-22,China,Beijing,Consumer & Retail,"Tiger Global Management, Blue Lake Capital, ZhenFund",2016,2,2014,11,1.0296194171811581,1,0,1,3,1,1,False,False,False,False,True,False,False,False,False,False,True
Physical Intelligence,2.8,2024-11-04,United States,San Francisco,Enterprise Tech,"Khosla Ventures, Sequoia Capital, Lux Capital",2024,3,2021,4,1.0296194171811581,1,1,1,3,1,1,True,False,False,False,False,False,True,False,False,False,True
Nutrabolt,2.79,2022-12-08,United States,Austin,Consumer & Retail,MidOcean Partners,2022,20,2002,23,1.0260415958332743,0,0,1,1,0,1,False,False,False,False,False,False,False,False,False,False,True
Abridge,2.75,2025-02-23,United States,Pittsburgh,Enterprise Tech,"Institutional Venture Partners, Spark Capital, Lightspeed Venture Partners",2025,7,2018,7,1.0116009116784799,0,0,1,3,1,1,True,False,False,False,False,True,False,False,False,False,True
Illumio,2.75,2015-04-14,United States,Sunnyvale,Enterprise Tech,"Data Collective, Formation 8, General Catalyst Partners",2015,2,2013,12,1.0116009116784799,0,0,1,3,1,1,True,False,False,False,True,False,False,False,False,False,True
MasterClass,2.75,2021-05-13,United States,San Francisco,Media & Entertainment,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners",2021,6,2015,10,1.0116009116784799,1,1,1,3,0,1,False,False,False,False,False,True,False,False,False,False,True
Transmit Security,2.74,2021-06-22,Israel,Tel Aviv,Enterprise Tech,"General Atlantic, Insight Partners, Vintage Investment Partners",2021,7,2014,11,1.007957920399979,1,0,2,3,1,1,True,False,False,False,True,False,False,False,False,False,True
Hozon Auto,3.95,2022-02-22,China,Shanghai,Industrials,"HD Capital, Qihoo 360 Technology, China Fortune Land Development",2022,8,2014,11,1.3737155789130306,0,0,1,3,0,0,False,False,False,True,True,False,False,False,False,False,True
Tradeshift,2.7,2018-05-30,United States,San Francisco,Enterprise Tech,"Notion Capital, Scentan Ventures, Kite Ventures",2018,9,2009,16,0.9932517730102834,1,1,1,3,0,1,True,False,False,False,False,False,False,False,False,False,True
TravelPerk,2.7,2022-01-12,Spain,Barcelona,Enterprise Tech,"LocalGlobe, Kinnevik, Felix Capital",2022,7,2015,10,0.9932517730102834,0,0,3,3,0,1,True,False,False,False,False,True,False,False,False,False,True
Nextiva,2.7,2021-09-14,United States,Scottsdale,Enterprise Tech,Goldman Sachs Asset Management,2021,13,2008,17,0.9932517730102834,0,0,1,1,0,1,True,False,False,False,False,False,False,False,False,False,True
Tridge,2.7,2022-08-24,South Korea,Seoul,Industrials,"Forest Partners, Softbank Ventures Asia",2022,7,2015,10,0.9932517730102834,0,0,2,2,1,0,False,False,False,True,False,True,False,False,False,False,True
Thought Machine,2.7,2021-11-29,United Kingdom,London,Financial Services,"British Patient Capital, SEB Venture Capital, IQ Capital",2021,7,2014,11,0.9932517730102834,1,0,2,3,0,1,False,True,False,False,True,False,False,False,False,False,True
Starling Bank,2.69,2021-03-08,United Kingdom,London,Financial Services,"JTC Group, Qatar Investment Authority, Fidelity Investment",2021,7,2014,11,0.9895411936137477,1,0,2,3,0,1,False,True,False,False,True,False,False,False,False,False,True
BackBase,2.66,2022-06-09,Netherlands,Amsterdam,Financial Services,Motive Partners,2022,19,2003,22,0.9783261227936078,0,0,3,1,0,1,False,True,False,False,False,False,False,False,False,False,True
ManoMano,2.6,2021-07-05,France,Paris,Consumer & Retail,"General Atlantic, Piton Capital, Partech Partners",2021,8,2013,12,0.9555114450274363,0,0,2,3,0,1,False,False,False,False,True,False,False,False,False,False,True
Sourcegraph,2.62,2021-07-13,United States,San Francisco,Enterprise Tech,"Redpoint Ventures, Goldcrest Capital, Insight Partners",2021,8,2013,12,0.9631743177730056,1,1,1,3,1,1,True,False,False,False,True,False,False,False,False,False,True
Pendo,2.6,2019-10-17,United States,Raleigh,Enterprise Tech,"Contour Venture Partners, Battery Ventures, Core Capital Partners",2019,6,2013,12,0.9555114450274363,0,0,1,3,0,1,True,False,False,False,True,False,False,False,False,False,True
Plume,2.6,2021-02-23,United States,Palo Alto,Industrials,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures",2021,6,2015,10,0.9555114450274363,1,1,1,3,1,0,False,False,False,True,False,True,False,False,False,False,True
Moglix,2.6,2021-05-17,Singapore,Singapore,Industrials,"Jungle Ventures, Accel, Venture Highway",2021,6,2015,10,0.9555114450274363,0,0,2,3,1,0,False,False,False,True,False,True,False,False,False,False,True
Axonius,2.6,2021-03-01,United States,New York,Enterprise Tech,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge",2021,4,2017,8,0.9555114450274363,1,0,1,3,0,1,True,False,False,False,False,True,False,False,False,False,True
JumpCloud,2.62,2021-09-13,United States,Louisville,Enterprise Tech,"Foundry Group, General Atlantic, BlackRock",2021,9,2012,13,0.9631743177730056,0,0,1,3,0,1,True,False,False,False,True,False,False,False,False,False,True
Unico,2.6,2021-08-03,Brazil,Sao Paulo,Enterprise Tech,"Big Bets, General Atlantic, SOFTBANK Latin America Ventures",2021,14,2007,18,0.9555114450274363,0,0,3,3,1,1,True,False,False,False,False,False,False,False,False,False,True
Bending Spoons,2.55,2024-02-15,Italy,Milan,Consumer & Retail,"Durable Capital Partners, Adjacent, Creator Partners",2024,11,2013,12,0.9360933591703348,0,0,3,3,0,1,False,False,False,False,True,False,False,False,False,False,True
JUST Egg,2.59,2017-11-30,United States,San Francisco,Consumer & Retail,"Khosla Ventures, Horizons Ventures, Founders Fund",2017,6,2011,14,0.9516578757114463,1,1,1,3,1,1,False,False,False,False,True,False,False,False,False,False,True
Peregrine,2.5,2025-03-04,United States,San Francisco,Enterprise Tech,"Sequoia Capital, Fifth Down Capital",2025,5,2020,5,0.9162907318741551,1,1,1,2,1,1,True,False,False,False,False,False,True,False,False,False,True
Lambda Labs,2.5,2023-10-05,United States,San Francisco,Enterprise Tech,"1517 Fund, Gradient Ventures, Bloomberg Beta",2023,11,2012,13,0.9162907318741551,1,1,1,3,0,1,True,False,False,False,True,False,False,False,False,False,True
Jetti Resources,2.5,2022-10-24,United States,Boulder,Industrials,"BMW i Ventures, BHP Ventures",2022,8,2014,11,0.9162907318741551,0,0,1,2,0,0,False,False,False,True,True,False,False,False,False,False,True
Claroty,2.5,2021-06-17,United States,New York,Enterprise Tech,"Bessemer Venture Partners, MoreVC, Team8",2021,6,2015,10,0.9162907318741551,1,0,1,3,0,1,True,False,False,False,False,True,False,False,False,False,True
Vista Global,2.5,2017-08-23,United Arab Emirates,Dubai,Industrials,Rhone Capital,2017,13,2004,21,0.9162907318741551,0,0,3,1,0,0,False,False,False,True,False,False,False,False,False,False,True
BYTON,2.5,2018-04-20,China,Nanjing,Industrials,"FAW Group, Tencent Holdings, Tus Holdings",2018,2,2016,9,0.9162907318741551,0,0,1,3,0,0,False,False,False,True,False,True,False,False,False,False,True
Side,2.5,2021-03-22,United States,San Francisco,Financial Services,"Coatue Managemeny, Trinity Ventures, Matrix Partners",2021,4,2017,8,0.9162907318741551,1,1,1,3,0,1,False,True,False,False,False,True,False,False,False,False,True
Infra.Market,2.78,2021-02-25,India,Thane,Industrials,"Accel, Tiger Global Management, Nexus Venture Partners",2021,5,2016,9,1.0224509277025455,0,0,2,3,1,0,False,False,False,True,False,True,False,False,False,False,True
Varo Bank,2.5,2021-09-09,United States,San Francisco,Financial Services,"Warburg Pincus, The Rise Fund, HarbourVest Partners",2021,6,2015,10,0.9162907318741551,1,1,1,3,0,1,False,True,False,False,False,True,False,False,False,False,True
Cato Networks,3.0,2020-11-17,Israel,Tel Aviv,Enterprise Tech,"Aspect Ventures, SingTel Innov8, Greylock Partners",2020,5,2015,10,1.0986122886681098,1,0,2,3,1,1,True,False,False,False,False,True,False,False,False,False,True
Sword Health,3.0,2021-11-22,United States,New York,Healthcare & Life Sciences,"Khosla Ventures, Green Innovations, Founders Fund",2021,6,2015,10,1.0986122886681098,1,0,1,3,1,0,False,False,True,False,False,True,False,False,False,False,True
Aura,2.5,2021-06-09,United States,Burlington,Consumer & Retail,"Warburg Pincus, General Catalyst",2021,2,2019,6,0.9162907318741551,0,0,1,2,1,1,False,False,False,False,False,True,False,False,False,False,True
TensTorrent,2.6,2021-05-05,Canada,Toronto,Enterprise Tech,"Eclipse Ventures, Fidelity Investments, Moore Capital Management",2021,5,2016,9,0.9555114450274363,0,0,2,3,0,1,True,False,False,False,False,True,False,False,False,False,True
Sysdig,2.5,2021-04-28,United States,San Francisco,Enterprise Tech,"Accel, Bain Capital Ventures, Insight Partners",2021,8,2013,12,0.9162907318741551,1,1,1,3,1,1,True,False,False,False,True,False,False,False,False,False,True
Uniphore,2.5,2022-02-16,United States,Palo Alto,Enterprise Tech,"Chiratae Ventures, March Capital Partners, National Grid Partners",2022,14,2008,17,0.9162907318741551,1,1,1,3,0,1,True,False,False,False,False,False,False,False,False,False,True
Somatus,2.5,2022-02-23,United States,McLean,Healthcare & Life Sciences,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital",2022,6,2016,9,0.9162907318741551,0,0,1,3,0,0,False,False,True,False,False,True,False,False,False,False,True
Immutable,2.5,2022-03-07,Australia,Sydney,Media & Entertainment,"Fabric Ventures, AirTree Ventures, Temasek",2022,4,2018,7,0.9162907318741551,0,0,3,3,0,1,False,False,False,False,False,True,False,False,False,False,True
SiFive,2.5,2022-03-16,United States,San Mateo,Enterprise Tech,"Sutter Hill Ventures, Osage University Partners, Spark Capital",2022,7,2015,10,0.9162907318741551,0,0,1,3,0,1,True,False,False,False,False,True,False,False,False,False,True
Games24x7,2.5,2022-03-30,India,Mumbai,Media & Entertainment,"Tiger Global Management, The Raine Group, Malabar Investments",2022,16,2006,19,0.9162907318741551,0,0,2,3,1,1,False,False,False,False,False,False,False,False,False,False,True
Fetch,2.5,2021-03-31,United States,Madison,Consumer & Retail,"Greycroft, Loeb.NYC, DST Global",2021,4,2017,8,0.9162907318741551,0,0,1,3,0,1,False,False,False,False,False,True,False,False,False,False,True
DriveNets,2.5,2021-01-27,Israel,Ra'anana,Enterprise Tech,"Bessemer Venture Partners, Pitango Venture Capital, D1 Capital Partners",2021,6,2015,10,0.9162907318741551,0,0,2,3,0,1,True,False,False,False,False,True,False,False,False,False,True
Hibob,2.45,2021-10-12,Israel,Tel Aviv,Enterprise Tech,"Bessemer Venture Partners, Eight Roads Ventures, Battery Ventures",2021,6,2015,10,0.8960880245566357,1,0,2,3,0,1,True,False,False,False,False,True,False,False,False,False,True
Mobile Premier League,2.45,2021-09-15,India,Bengaluru,Media & Entertainment,"Sequoia Capital India, RTP Global, Go-Ventures",2021,3,2018,7,0.8960880245566357,0,0,2,3,1,1,False,False,False,False,False,True,False,False,False,False,True
Fractal Analytics,2.44,2022-01-05,India,Mumbai,Enterprise Tech,"TPG Capital, Apax Partners, TA Associates",2022,22,2000,25,0.8919980393051105,0,0,2,3,0,1,True,False,False,False,False,False,False,False,False,False,True
insitro,2.44,2021-03-15,United States,South San Francisco,Healthcare & Life Sciences,"Foresite Capital, ARCH Venture Partners, Third Rock Ventures",2021,3,2018,7,0.8919980393051105,0,0,1,3,0,0,False,False,True,False,False,True,False,False,False,False,True
Cgtz,2.41,2017-02-21,China,Hangzhou,Financial Services,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",2017,3,2014,11,0.8796267475025636,0,0,1,3,0,1,False,True,False,False,True,False,False,False,False,False,True
Star Charge,2.41,2021-05-19,China,Changzhou,Industrials,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",2021,7,2014,11,0.8796267475025636,0,0,1,3,0,0,False,False,False,True,True,False,False,False,False,False,True
Carbon,2.4,2015-08-20,United States,Redwood City,Industrials,"Google Ventures, Sequoia Capital, Wakefield Group",2015,2,2013,12,0.8754687373538999,0,0,1,3,1,0,False,False,False,True,True,False,False,False,False,False,True
Paxos,2.4,2021-04-29,United States,New York,Financial Services,"Liberty City Ventures, RRE Ventures, Mithril Capital Management",2021,9,2012,13,0.8754687373538999,1,0,1,3,0,1,False,True,False,False,True,False,False,False,False,False,True
BitSight Technologies,2.4,2021-09-13,United States,Boston,Enterprise Tech,"Menlo Ventures, GGV Capital, Flybridge Capital Partners",2021,8,2013,12,0.8754687373538999,1,0,1,3,0,1,True,False,False,False,True,False,False,False,False,False,True
Trumid,2.4,2020-07-15,United States,New York,Financial Services,"T. Rowe Price, Dragoneer Investment Group, BlackRock",2020,6,2014,11,0.8754687373538999,1,0,1,3,0,1,False,True,False,False,True,False,False,False,False,False,True
ABL Space Systems,2.4,2021-03-25,United States,El Segundo,Industrials,"T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment",2021,4,2017,8,0.8754687373538999,0,0,1,3,0,0,False,False,False,True,False,True,False,False,False,False,True
HoneyBook,2.4,2021-05-04,United States,San Francisco,Enterprise Tech,"Norwest Venture Partners, Hillsven Capital, Aleph",2021,8,2013,12,0.8754687373538999,1,1,1,3,0,1,True,False,False,False,True,False,False,False,False,False,True
